filename,split,city,latitude,longitude,material_class,country,continent,height,numstories,roofshape,fpArea,solar_panels,multiple_materials,caption,date_collected
Haiti-hurricane-matthew_00000072_pre_disaster_47afa605-762e-4daf-8d0a-5133424e4619.png,train,haiti,18.19093996451142,-73.77581750550755,AmorphousConcrete,Haiti,North America,,,Flat,11.254705576005447,False,False,"flat flat concrete / cement roof in Haiti, 11 ft² footprint",Q2-2025
Haiti-hurricane-matthew_00000072_pre_disaster_47f8d604-2752-45d3-9ca2-27c82b33397f.png,train,haiti,18.191127253180255,-73.77515963833814,AmorphousConcrete,Haiti,North America,,,Flat,6.850454757748705,False,False,"flat flat concrete / cement roof in Haiti, 6 ft² footprint",Q2-2025
Haiti-hurricane-matthew_00000072_pre_disaster_49e810df-e712-482c-b3c9-cc2b78df6558.png,train,haiti,18.191300571289737,-73.77531722371818,AmorphousConcrete,Haiti,North America,,,Flat,4.201887449948296,False,False,"flat flat concrete / cement roof in Haiti, 4 ft² footprint",Q2-2025
Haiti-hurricane-matthew_00000072_pre_disaster_82aa76d8-2a40-49d6-a26e-953217c3860a.png,train,haiti,18.19147074865681,-73.77545516415493,MetalSheetMaterials,Haiti,North America,,,,4.309794732715709,False,False,"corrugated or tiled metal roof (silver / dark / painted) in Haiti, 4 ft² footprint",Q2-2025
Haiti-hurricane-matthew_00000072_pre_disaster_b831e244-48a3-4690-8175-39bf508cb33e.png,train,haiti,18.191579594937256,-73.77586623205349,AmorphousConcrete,Haiti,North America,,,Flat,8.036206025690825,False,False,"flat flat concrete / cement roof in Haiti, 8 ft² footprint",Q2-2025
Haiti-hurricane-matthew_00000072_pre_disaster_ba855de8-6829-4615-9058-aad042e63286.png,train,haiti,18.19125747353263,-73.7749454150555,MetalSheetMaterials,Haiti,North America,,,,2.430566174241502,False,False,"corrugated or tiled metal roof (silver / dark / painted) in Haiti, 2 ft² footprint",Q2-2025
Haiti-hurricane-matthew_00000072_pre_disaster_bcd83ae4-517f-437c-8c63-fdf367e32af8.png,train,haiti,18.19207223790265,-73.7761392166705,AmorphousConcrete,Haiti,North America,,,Flat,7.223314962224292,False,False,"flat flat concrete / cement roof in Haiti, 7 ft² footprint",Q2-2025
Haiti-hurricane-matthew_00000075_pre_disaster_273cdbba-6c74-4d05-8ff2-54d99f17b286.png,train,haiti,18.212750499344924,-73.77187164850153,MetalSheetMaterials,Haiti,North America,,,,3.439390052875898,False,False,"corrugated or tiled metal roof (silver / dark / painted) in Haiti, 3 ft² footprint",Q2-2025
Haiti-hurricane-matthew_00000129_pre_disaster_7bc84ec1-b306-4905-a084-cae963f6226d.png,train,haiti,18.193565636492888,-73.77620104841635,MetalSheetMaterials,Haiti,North America,,,,26.02946719870518,False,False,"corrugated or tiled metal roof (silver / dark / painted) in Haiti, 26 ft² footprint",Q2-2025
Haiti-hurricane-matthew_00000129_pre_disaster_deae73d6-82f3-4948-ba9a-5eef225288a5.png,train,haiti,18.193481491946496,-73.7767491904852,MetalSheetMaterials,Haiti,North America,,,,3.454977332156734,False,False,"corrugated or tiled metal roof (silver / dark / painted) in Haiti, 3 ft² footprint",Q2-2025
